gene_transcript,gene,Non-targetting,replication,umap1,umap2,HBZ,SLC25A37,SPI1,CSF3R
10813_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,7.4010935,-0.29032308,0.013684519,-0.09245805,0.053580005,0.0237636
10814_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,8.190173,-1.3504415,-4.3835193e-05,-0.08500351,0.020708758,-0.015069473
10815_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,5.301741,-2.9548392,0.51472545,0.03663688,0.016417505,0.008111692
10816_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,7.738519,0.26389647,-0.32156014,0.11422603,-0.09744247,0.016943123
10817_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,6.9880877,-1.1148016,-0.058077358,-0.021526325,-0.06910972,-0.011758003
10818_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,6.132524,-1.5336095,0.17044905,0.023215117,0.025447862,-0.0085696895
10819_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,7.245515,-1.6582873,0.32243803,0.07385868,-0.025766857,-0.02274436
10820_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,7.6374717,-2.8594863,0.055019736,-0.0034155059,-0.0060991016,-0.03638407
10821_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,7.1361046,-1.5737445,-0.056219254,5.212823e-05,-0.043253444,-0.0111629795
10822_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,7.0095367,-1.2598099,-0.030818893,-0.042515486,0.013641967,-0.004373618
10823_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,7.937643,-2.3800495,0.043437652,-0.028244313,-0.035621185,-0.014127591
10824_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,8.116264,-2.1747127,0.043042302,-0.026724616,0.051788516,-0.019379856
10825_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,7.9937057,-3.8024392,0.09431041,0.06513264,-0.00034823455,-0.0052550226
10826_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,5.3630595,-0.6083137,-0.17098156,0.040557392,-0.0025067977,0.009102087
10827_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,6.512393,-1.6351682,-0.046106707,0.07302599,0.011810149,-0.008424374
10828_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,8.068095,-1.4552276,-0.047883887,-0.14605638,-0.05396513,0.047394395
10829_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,6.7031035,-2.1245646,0.10595627,-0.014866079,-0.039561294,-0.006038967
10830_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,6.049045,-3.532652,0.589762,0.07367496,-0.074491225,-0.031080507
10831_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,7.389465,-1.6572858,-0.09010474,-0.110501245,-0.027630026,-0.0034620597
