Gene,Non-leukemia,Leukemia,Leukemia/Non-leukemia
MIEN1,-0.337717249,-0.302399691,0.035317558
MIER1,-0.043911503,-0.026627852,0.017283651
MIER2,0.067996576,0.019302118,-0.048694457
MIER3,-0.099917552,-0.046113357,0.053804195
MIF,-0.056123234,0.004119668,0.060242902
MIF4GD,-0.150923042,-0.114108032,0.03681501
MIIP,-0.232337918,-0.200582782,0.031755136
MINA,-0.147142821,-0.111526163,0.035616658
MINK1,0.003739331,-0.006090676,-0.009830007
MINOS1,-0.672999136,-0.895756029,-0.222756893
MINPP1,-0.051603052,-0.043275806,0.008327246
MIOS,-0.637211017,-0.823353016,-0.186141999
MIOX,0.041678171,0.012845084,-0.028833088
MIP,-0.099443253,-0.103950008,-0.004506755
MIPEP,-0.590725096,-0.541112577,0.04961252
MIPOL1,-0.079974362,-0.033697756,0.046276605
MIS12,-0.801762792,-0.855209313,-0.053446522
MIS18A,-1.498845836,-1.632880027,-0.134034191
MIS18BP1,-1.199907709,-1.316632207,-0.116724498
MISP,0.024182239,-0.040928761,-0.065111
MITD1,-0.132972123,-0.099541827,0.033430296
MITF,0.042725116,0.100264909,0.057539792
MIXL1,0.12999697,0.104239872,-0.025757098
MKI67,-0.113751506,-0.098284035,0.015467471
MKKS,0.084583691,0.093419153,0.008835462
MKL1,-0.259639958,-0.345622157,-0.085982199
MKL2,0.109566828,0.070527088,-0.03903974
MKLN1,-0.194437968,-0.092637083,0.101800885
MKNK1,0.036242001,0.032782873,-0.003459128
MKNK2,-0.085130868,-0.091863597,-0.00673273
MKRN1,-0.542257325,-0.493694822,0.048562504
MKRN2,0.015788745,0.03768095,0.021892205
MKRN2OS,-0.148295579,-0.112987796,0.035307783
MKRN3,-0.081278601,-0.08952101,-0.008242409
MKS1,-0.109926363,-0.113582124,-0.003655761
MKX,0.015000795,0.025418877,0.010418082
MLANA,0.120172368,0.054285088,-0.06588728
MLC1,-0.038969297,-0.048707026,-0.009737729
MLEC,0.053081438,0.126449573,0.073368135
MLF1,0.046003341,0.056385302,0.010381961
MLF2,-0.102304404,-0.004445746,0.097858658
MLH1,-0.197907318,-0.149363486,0.048543832
MLH3,-0.012537392,-0.032068287,-0.019530895
MLIP,-0.101310662,-0.057672045,0.043638617
MLKL,-0.06343036,-0.039262524,0.024167836
MLLT1,0.062501291,-0.118604497,-0.181105788
MLLT10,0.155363089,0.087303512,-0.068059577
MLLT11,-0.029723069,0.065614626,0.095337694
MLLT3,0.060341834,0.029414956,-0.030926878
MLLT4,-0.197528744,-0.202326476,-0.004797732
MLLT6,-0.068558848,-0.119100828,-0.05054198
MLN,0.097065346,0.09966927,0.002603924
MLNR,0.000363135,0.023815715,0.02345258
MLPH,0.17453355,0.179388849,0.004855298
MLST8,-0.833948919,-0.88207167,-0.048122751
MLX,-0.335656043,-0.351274303,-0.015618259
MLXIPL,-0.113039262,-0.074870524,0.038168738
MLYCD,0.099969458,0.100860001,0.000890543
MMAA,-0.005753909,0.072773371,0.07852728
MMAB,-0.312491898,-0.224196353,0.088295546
MMACHC,-0.307797966,-0.306966971,0.000830995
MMADHC,0.005846264,0.12261664,0.116770376
MMD,-0.029943978,-0.093787257,-0.063843279
MMD2,0.00592299,0.064279155,0.058356165
MME,-0.004609068,-0.0205099,-0.015900832
MMEL1,-0.124383381,-0.080310877,0.044072504
MMP1,0.157067006,0.146748765,-0.010318241
MMP10,-0.162004382,-0.138512372,0.02349201
MMP11,-0.08179719,-0.085770623,-0.003973434
MMP13,0.125365828,0.161467143,0.036101315
MMP14,0.031208688,0.015157653,-0.016051035
MMP15,0.013230014,0.024693114,0.0114631
MMP16,0.153404603,0.179074518,0.025669916
MMP17,-0.312683494,-0.341867238,-0.029183744
MMP19,-0.243879088,-0.268842781,-0.024963693
MMP2,-0.040980583,-0.044427983,-0.0034474
MMP20,-0.045376565,-0.034221932,0.011154633
MMP21,0.064283571,0.082042105,0.017758534
MMP23B,-0.059339233,-0.077027085,-0.017687852
MMP24,-0.216736312,-0.175219991,0.041516321
MMP25,-0.286677587,-0.217213464,0.069464123
MMP26,-0.011182573,-0.023767297,-0.012584724
MMP27,0.144211744,0.150691106,0.006479362
MMP28,-0.168317975,-0.099081757,0.069236219
MMP3,0.065128545,0.059689038,-0.005439507
MMP7,-0.095365033,-0.091117779,0.004247254
MMP8,0.182135919,0.171988656,-0.010147263
MMP9,-0.046208244,-0.067616219,-0.021407975
MMRN1,0.144294425,0.175708649,0.031414224
MMRN2,-0.060667832,-0.045817752,0.014850081
MMS19,-1.087389007,-0.891480807,0.1959082
MMS22L,-1.705958151,-1.76198586,-0.056027709
MN1,0.198312243,0.188908557,-0.009403686
MNAT1,-1.099437828,-1.131255495,-0.031817667
