,0,1,bc
327,-0.0032863885,-5.5297074,E2 w/d 0h
328,1.2101882,-3.7489035,E2 w/d 0h
329,4.3542504,-2.0738578,E2 w/d 0h
330,-1.2117153,-5.012241,E2 w/d 0h
331,-8.08999,2.120201,E2 w/d 48h
332,2.0721204,6.53548,E2 w/d 12h
333,-5.174845,4.8286166,E2 w/d 48h
334,-7.493563,1.1857371,E2 w/d 48h
335,-0.4945854,-5.064674,E2 w/d 0h
336,3.2514834,7.7023096,E2 w/d 12h
337,-7.9257936,0.51200837,E2 w/d 48h
338,-4.157168,2.9729886,E2 w/d 48h
339,-6.8013506,0.9540274,E2 w/d 48h
340,4.4286704,-4.0167394,E2 w/d 0h
341,3.5101063,-5.0504317,E2 w/d 0h
342,4.427305,-4.931144,E2 w/d 0h
343,-2.602765,4.7359486,E2 w/d 24h
344,3.6552827,-3.230775,E2 w/d 0h
345,-1.0242946,2.2907302,E2 w/d 24h
346,2.4300148,-2.9389234,E2 w/d 0h
347,1.5333663,-1.9297233,E2 w/d 0h
348,-6.035097,3.5875032,E2 w/d 48h
349,-5.5014257,4.3325005,E2 w/d 48h
350,-4.8221807,1.5442992,E2 w/d 24h
351,-2.9118743,5.1286244,E2 w/d 24h
352,2.1638365,3.9773033,E2 w/d 12h
353,-1.6500401,-5.2349534,E2 w/d 0h
354,-0.9184897,-5.132133,E2 w/d 0h
355,2.902315,3.707753,E2 w/d 12h
356,-4.559274,1.4659238,E2 w/d 48h
357,-6.029689,5.4250307,E2 w/d 48h
358,5.2683687,-1.8916047,E2 w/d 0h
359,0.30953497,-5.491672,E2 w/d 0h
360,-2.215316,1.4144417,E2 w/d 24h
361,3.9192321,-4.8565774,E2 w/d 0h
362,-2.4239264,-0.18823965,E2 w/d 24h
363,-7.1319304,-0.15479448,E2 w/d 48h
364,-1.2955761,-6.0243573,E2 w/d 0h
365,3.554793,2.8416219,E2 w/d 12h
366,4.12175,5.488407,E2 w/d 12h
367,2.0110703,6.944418,E2 w/d 12h
368,-0.5090042,-6.468693,E2 w/d 0h
369,1.0792094,-1.6783326,E2 w/d 0h
370,4.434267,2.6555471,E2 w/d 12h
371,4.8911023,-3.4677541,E2 w/d 0h
372,4.0061274,5.3078365,E2 w/d 12h
373,-7.947304,2.9885802,E2 w/d 48h
374,-6.1051965,2.260548,E2 w/d 48h
375,-2.087614,3.213064,E2 w/d 24h
376,0.33299187,-1.2653328,E2 w/d 0h
377,1.8861661,5.0200567,E2 w/d 12h
378,2.8901436,-4.022206,E2 w/d 0h
379,2.6790872,3.84379,E2 w/d 12h
380,-1.2002087,1.8646494,E2 w/d 24h
381,-1.0759217,-4.8998213,E2 w/d 0h
382,2.8941624,4.0058584,E2 w/d 12h
383,3.314001,-4.593447,E2 w/d 0h
384,2.9106028,-5.4953904,E2 w/d 0h
385,-8.778129,3.2586472,E2 w/d 48h
386,2.6130068,7.6254907,E2 w/d 12h
387,-8.766557,3.0523942,E2 w/d 48h
388,-1.9613848,0.47116897,E2 w/d 24h
389,-5.3714466,5.3536644,E2 w/d 48h
390,1.6631587,-0.34171104,E2 w/d 0h
391,-2.558297,4.9472136,E2 w/d 24h
392,-1.4378157,3.930044,E2 w/d 24h
393,-2.41516,1.780887,E2 w/d 24h
394,2.1736028,6.59209,E2 w/d 12h
395,-3.3045545,3.3415558,E2 w/d 24h
396,-6.1756277,2.7453392,E2 w/d 48h
397,-1.3366561,3.2897458,E2 w/d 24h
398,-4.942059,2.615613,E2 w/d 48h
399,1.4792689,3.5025644,E2 w/d 12h
400,3.928859,3.6388626,E2 w/d 12h
401,4.365687,-1.2486024,E2 w/d 0h
402,-2.225924,5.8657136,E2 w/d 24h
403,1.3556955,-5.878515,E2 w/d 0h
404,2.2012432,-2.739274,E2 w/d 0h
405,4.0606337,2.479145,E2 w/d 12h
406,-1.0524449,-3.4052515,E2 w/d 0h
407,3.3840313,-1.8090547,E2 w/d 0h
408,-0.36607957,-6.8142695,E2 w/d 0h
409,6.3547287,-2.0647213,E2 w/d 0h
410,1.0032866,-2.2735908,E2 w/d 0h
