"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Gm13856",-1.02270571210714,3.05390412825404,-9.01538996607974,4.3036242400824e-10,1.00492722138471e-08,12.8877306394888
"St3gal5",-1.85047170394457,4.02836628057515,-9.01179348840979,4.34219837101441e-10,1.01030038442437e-08,13.0193533097072
"Mov10",-1.31742400597724,5.36625788730123,-9.00265476732505,4.44181263045584e-10,1.02978666752157e-08,12.6544487979368
"Plscr1",-1.01355039498139,5.14169785056728,-8.91757687343368,5.48900875287086e-10,1.25464437743877e-08,12.4371921778545
"Tnnt2",-1.0676591050158,3.58302394485845,-8.88319836587715,5.98080784106305e-10,1.36465427417437e-08,12.3859372967901
"Nhsl1",-2.07267635320737,1.0187689406092,-8.85459386206544,6.42418667063662e-10,1.46324939552413e-08,12.7282237599957
"Col4a6",-1.37068408205978,3.83325549059711,-8.82509168440774,6.91671611961811e-10,1.56992526889863e-08,12.3364874225306
"Smagp",-1.75033222420588,2.19785788019617,-8.80317321470885,7.30746953149976e-10,1.64709855776843e-08,12.5733179164828
"Camk2b",-1.99142806012697,2.58463902757614,-8.79354190419936,7.48623074818648e-10,1.68155248795337e-08,12.555353300205
"Gsn",-1.1437362739631,7.807551772653,-8.75449814405227,8.25785223770747e-10,1.83581670551637e-08,11.8079093196022
"Wdr35",-1.65490831305259,2.32114066927392,-8.69656098853631,9.55535369576927e-10,2.09910587194877e-08,12.3287729226312
"RP24-295G1.2",-3.57590658496229,0.761599938400714,-8.63440899682567,1.11801822113302e-09,2.43544136996141e-08,11.9573474271209
"Trim26",-1.62939986680182,3.48468231522663,-8.578389987394,1.28857111240815e-09,2.76978787291307e-08,11.9333067557707
"Gimap8",-6.16376751387135,-0.773111856480477,-8.54564762598664,1.40032764935658e-09,2.990206228881e-08,10.4731008457104
"Cd69",-1.08787251760985,5.56549321336969,-8.48070137606197,1.65217883452416e-09,3.4992231335444e-08,11.1387841892255
"Atp8b2",-1.04633120792197,4.69913907510852,-8.47480519582494,1.67721872298438e-09,3.54647079487071e-08,11.3362085217821
"Parp16",-1.1355996057111,3.13011026995121,-8.46205853165736,1.73268252369939e-09,3.65779141547792e-08,11.4642624627164
"Dnah17",-1.24644013790747,2.97177828580999,-8.40095493468052,2.02570966108466e-09,4.18579484239607e-08,11.4434087555136
"Bcl9l",-1.62150928807016,3.94870981679459,-8.39528545673506,2.05534162127635e-09,4.23563496333822e-08,11.3642403833262
"Rag1",-13.0562121702237,0.466880723452664,-8.38635307887841,2.10292696006767e-09,4.31972178357871e-08,7.60489323883955
"Vangl2",-1.19323527870148,2.62870788684501,-8.38575991954695,2.10612638758787e-09,4.31972178357871e-08,11.3772266713909
"Klc4",-1.05669150030761,4.70692150302596,-8.38084730607265,2.13281592490516e-09,4.36756295789332e-08,11.2250615249586
"Gm29103",-1.79821847931676,1.7102319439154,-8.34075179345771,2.36395929054584e-09,4.79551304205573e-08,11.4258102686389
"Wdr60",-1.19441172835737,3.49654312693637,-8.30321994803841,2.60345897093045e-09,5.21615861413426e-08,11.0582494905612
"Tet1",-2.17073508725715,1.67611297779282,-8.27148590581618,2.82519529377973e-09,5.62569179434698e-08,11.2533567645994
"Tmcc2",-1.1675809063563,3.2346139436656,-8.26757925541733,2.8537920946376e-09,5.66525730346788e-08,11.037850619221
"Apobec1",-1.12608076709364,4.17784256681683,-8.23748931735347,3.08417641140006e-09,6.05777040078775e-08,10.8882683123009
"S1pr1",-1.61864139312591,3.46065207642594,-8.20449675266303,3.35866206587538e-09,6.55721948891129e-08,10.9772639144046
"Nlrc3",-2.68626046578015,2.05176112866322,-8.19091312502967,3.47879261962858e-09,6.74106934039371e-08,11.0834403593858
"P2ry1",-1.13365444962655,4.21048332078247,-8.13410707017006,4.03055487736332e-09,7.69539617247175e-08,10.6385305473355
"Spred1",-1.11260811892328,6.1597510162403,-8.1158318459861,4.22641124784011e-09,8.045674080749e-08,10.1359922893888
"Pde2a",-1.05445396405876,5.30127319562173,-8.10534229401646,4.34318106387064e-09,8.25585940735469e-08,10.3161129628021
"Prrg4",-2.59641533370116,0.82798603086887,-8.03184522690013,5.25907798727469e-09,9.83841635573304e-08,10.6837825374563
"Vamp5",-1.04213284043935,4.30693599358235,-7.99171991792386,5.83986772286715e-09,1.08004277273482e-07,10.0484951513216
"Sh3bp5",-1.15805822075965,4.41767449918452,-7.98729276044958,5.90782760696993e-09,1.08950746905242e-07,10.2047916998617
"Ttc25",-1.15903821638425,2.7243598412804,-7.96559980522941,6.25265701669636e-09,1.1385448253544e-07,10.2431024566589
"Dse",-2.76062224853363,1.98968264365374,-7.9512355199481,6.49220521920756e-09,1.17721089889625e-07,10.4063402360108
"Fam49a",-1.47639181959379,3.90819955516097,-7.84442416253344,8.59314495087754e-09,1.53038135661513e-07,9.96609874321205
"Clic5",-3.64696565462885,0.972698789986162,-7.83925064013851,8.71094503210149e-09,1.5471162702021e-07,9.91627307367451
"Cd248",-6.60940350635101,-2.67522795179827,-7.79641787614366,9.75161136487445e-09,1.71319580988045e-07,6.86848682923193
"Ptprf",-1.17805936222545,3.84239878685867,-7.78052917852338,1.01690827549801e-08,1.77692061114275e-07,9.56986348274993
"Rab37",-1.04049998531044,5.40674433385955,-7.77365294214922,1.03553501338156e-08,1.80334160132241e-07,9.43211706398072
"Zfp658",-2.37715901133755,2.59725063681574,-7.76310621887743,1.06478166383866e-08,1.84813640930713e-07,9.99355269973215
"Plekho1",-1.12179289750794,4.1693669480116,-7.75640816599149,1.08379079194655e-08,1.87611411357894e-07,9.63359309515688
"Cdon",-1.39723183877068,2.54164464845863,-7.70581268143512,1.2390017523711e-08,2.10825160564011e-07,9.71310172537603
"Aldh1b1",-1.2104377330903,4.00039293891792,-7.69048205526247,1.29036060071341e-08,2.18419187471476e-07,9.49648009980655
"Pcbp4",-1.4051872089459,3.13739291022959,-7.64313966294885,1.46305374213046e-08,2.45256395209899e-07,9.46257698260232
"Hpgds",-2.04014173303973,2.74022612980618,-7.59698880498901,1.65405172345884e-08,2.74259942856528e-07,9.55738973476482
"Slc15a3",-1.76656275156025,4.82750254755306,-7.57294696181506,1.76340934733339e-08,2.91276635577981e-07,9.04168764635514
"Gcsam",-3.42677491566478,-0.0194227845348027,-7.54243614514643,1.91285218546008e-08,3.13172256290393e-07,9.32493796014549
"Camk2a",-1.32156621160012,2.25761606981413,-7.53952912256831,1.92774654144214e-08,3.15213266341856e-07,9.21816223428085
