_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.3,R-HSA-163841,"Gamma carboxylation, hypusine formation and arylsulfatase activation",M1,1,0
1,-4.7,GO:2000058,regulation of ubiquitin-dependent protein catabolic process,M1,1,0
1,-6.2,GO:0050658,RNA transport,M1,1,0
1,-3.9,GO:0032922,circadian regulation of gene expression,M1,1,0
1,-13,R-HSA-8953854,Metabolism of RNA,M1,1,0
1,-2.6,GO:0045648,positive regulation of erythrocyte differentiation,M1,1,0
1,-3.7,GO:0006488,dolichol-linked oligosaccharide biosynthetic process,M1,1,0
1,-2.6,GO:1905897,regulation of response to endoplasmic reticulum stress,M1,1,0
1,-2.2,R-HSA-983168,Antigen processing: Ubiquitination & Proteasome degradation,M1,1,0
1,-8.4,GO:0043631,RNA polyadenylation,M1,1,0
1,-2.1,GO:0035821,modulation of process of other organism,M1,1,0
1,-3.5,GO:0043065,positive regulation of apoptotic process,M1,1,0
1,-2.9,GO:2000677,regulation of transcription regulatory region DNA binding,M1,1,0
1,-2.7,GO:0043401,steroid hormone mediated signaling pathway,M1,1,0
1,-2.2,R-HSA-167200,Formation of HIV-1 elongation complex containing HIV-1 Tat,M1,1,0
1,-2.5,GO:0050779,RNA destabilization,M1,1,0
1,-2.7,GO:0007059,chromosome segregation,M1,1,0
1,-5.2,CORUM:513,TFTC complex (TATA-binding protein-free TAF-II-containing complex),M1,1,0
1,-2.4,ko03015,mRNA surveillance pathway,M1,1,0
1,-2.9,WP4211,Transcriptional cascade regulating adipogenesis,M1,1,0
1,-6.7,GO:1903047,mitotic cell cycle process,M1,1,0
1,-3.5,CORUM:6765,CCR4-NOT complex,M1,1,0
1,-2.4,hsa05216,Thyroid cancer,M1,1,0
1,-2.8,GO:1902749,regulation of cell cycle G2/M phase transition,M1,1,0
1,-9.3,R-HSA-72172,mRNA Splicing,M1,1,0
1,-3.4,GO:0043068,positive regulation of programmed cell death,M1,1,0
1,-2.5,GO:0006900,vesicle budding from membrane,M1,1,0
1,-7,R-HSA-177243,Interactions of Rev with host cellular proteins,M1,1,0
1,-2.9,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage,M1,1,0
1,-8.7,R-HSA-6784531,tRNA processing in the nucleus,M1,1,0
1,-7.2,CORUM:888,MTA2 complex,M1,1,0
1,-3.5,GO:0000723,telomere maintenance,M1,1,0
1,-5.6,R-HSA-4551638,SUMOylation of chromatin organization proteins,M1,1,0
1,-3.8,GO:0043313,regulation of neutrophil degranulation,M1,1,0
1,-2.6,GO:0030851,granulocyte differentiation,M1,1,0
1,-9.5,GO:0006913,nucleocytoplasmic transport,M1,1,0
1,-12,CORUM:493,DAB complex,M1,1,0
1,-3.4,R-HSA-1169410,Antiviral mechanism by IFN-stimulated genes,M1,1,0
1,-11,GO:0006473,protein acetylation,M1,1,0
1,-6.1,ko05016,Huntington's disease,M1,1,0
1,-5.8,GO:0097193,intrinsic apoptotic signaling pathway,M1,1,0
1,-5.1,CORUM:738,SIN3-ING1b complex I,M1,1,0
1,-4.8,GO:1903706,regulation of hemopoiesis,M1,1,0
1,-3.8,GO:0060795,cell fate commitment involved in formation of primary germ layer,M1,1,0
1,-3.3,CORUM:6131,SELK multiprotein complex,M1,1,0
1,-4.4,CORUM:3010,TFIID subcomplex,M1,1,0
1,-2.4,GO:0001832,blastocyst growth,M1,1,0
1,-2.4,GO:1902236,negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway,M1,1,0
1,-3,GO:0019080,viral gene expression,M1,1,0
1,-2.7,GO:2000772,regulation of cellular senescence,M1,1,0
1,-2.7,ko05169,Epstein-Barr virus infection,M1,1,0
1,-12,GO:0016571,histone methylation,M1,1,0
1,-4.8,CORUM:7367,ASH2L-KDM6B-KDM6B-WDR5 complex,M1,1,0
1,-4.7,CORUM:691,SIN3-SAP25 complex,M1,1,0
1,-3.5,GO:0006414,translational elongation,M1,1,0
1,-4.9,GO:0051571,positive regulation of histone H3-K4 methylation,M1,1,0
1,-5.3,CORUM:3053,mSin3A-HDAC1-HDAC2 complex,M1,1,0
1,-2.2,M167,PID AP1 PATHWAY,M1,1,0
1,-3.6,GO:0043620,regulation of DNA-templated transcription in response to stress,M1,1,0
1,-2.8,GO:0002218,activation of innate immune response,M1,1,0
1,-2.2,GO:0010226,response to lithium ion,M1,1,0
1,-4.2,R-HSA-9697154,Disorders of Nervous System Development,M1,1,0
1,-5.7,GO:0001711,endodermal cell fate commitment,M1,1,0
1,-2.8,GO:0090305,nucleic acid phosphodiester bond hydrolysis,M1,1,0
1,-2.3,GO:1903131,mononuclear cell differentiation,M1,1,0
1,-6,M254,PID MYC REPRESS PATHWAY,M1,1,0
1,-2.1,GO:0031098,stress-activated protein kinase signaling cascade,M1,1,0
1,-2,GO:0030098,lymphocyte differentiation,M1,1,0
1,-9,GO:0031056,regulation of histone modification,M1,1,0
1,-2.4,WP4352,Ciliary landscape,M1,1,0
1,-5.8,GO:0034976,response to endoplasmic reticulum stress,M1,1,0
1,-5.3,GO:0006418,tRNA aminoacylation for protein translation,M1,1,0
1,-4.2,GO:0007568,aging,M1,1,0
1,-2.1,GO:1904996,positive regulation of leukocyte adhesion to vascular endothelial cell,M1,1,0
1,-3,GO:0048598,embryonic morphogenesis,M1,1,0
1,-4.4,GO:0010212,response to ionizing radiation,M1,1,0
1,-5.6,GO:0051170,import into nucleus,M1,1,0
1,-2.3,GO:2001235,positive regulation of apoptotic signaling pathway,M1,1,0
1,-3.3,GO:0010972,negative regulation of G2/M transition of mitotic cell cycle,M1,1,0
1,-9,R-HSA-159231,Transport of Mature mRNA Derived from an Intronless Transcript,M1,1,0
1,-6.1,GO:1904867,protein localization to Cajal body,M1,1,0
1,-2.1,M182,PID IL3 PATHWAY,M1,1,0
1,-2,GO:0006302,double-strand break repair,M1,1,0
1,-5,GO:0051028,mRNA transport,M1,1,0
1,-4.3,GO:0090501,RNA phosphodiester bond hydrolysis,M1,1,0
1,-6.3,GO:1904871,positive regulation of protein localization to Cajal body,M1,1,0
1,-2.2,ko00190,Oxidative phosphorylation,M1,1,0
1,-4,GO:0032103,positive regulation of response to external stimulus,M1,1,0
1,-3.5,GO:0090316,positive regulation of intracellular protein transport,M1,1,0
